城市,值
北京市,16406
天津市,11760
石家庄市,15848
唐山市,14198
秦皇岛市,7803
邯郸市,12065
邢台市,12433
保定市,22185
张家口市,36797
承德市,39490
沧州市,14304
廊坊市,6419
衡水市,8837
太原市,6988
大同市,14178
阳泉市,4559
长治市,13955
晋城市,9425
朔州市,10625
晋中市,16444
运城市,14183
忻州市,25152
临汾市,20275
吕梁市,21239
呼和浩特市,17186
包头市,27768
乌海市,1754
赤峰市,90021
通辽市,59629
鄂尔多斯市,86882
呼伦贝尔市,261570
巴彦淖尔市,65140
乌兰察布市,54500
沈阳市,12860
大连市,13244
鞍山市,9263
抚顺市,11271
本溪市,8414
丹东市,15290
锦州市,10048
营口市,5420
阜新市,10355
辽阳市,4788
盘锦市,4103
铁岭市,12985
朝阳市,19698
葫芦岛市,10416
长春市,20594
吉林市,27711
四平市,14382
辽源市,5140
通化市,15612
白山市,17505
松原市,21089
白城市,25759
哈尔滨市,53076
齐齐哈尔市,42469
鸡西市,22531
鹤岗市,14665
双鸭山市,22682
大庆市,21219
伊春市,32800
佳木斯市,32704
七台河市,6190
牡丹江市,38827
黑河市,69345
绥化市,34873
南京市,6587
无锡市,4627
徐州市,11765
常州市,4372
苏州市,8657
南通市,10549
连云港市,7615
淮安市,10030
盐城市,16931
扬州市,6591
镇江市,3840
泰州市,5787
宿迁市,8524
杭州市,16853
宁波市,9816
温州市,12110
嘉兴市,4223
湖州市,5820
绍兴市,8279
金华市,10942
衢州市,8845
舟山市,1459
台州市,10050
丽水市,17275
合肥市,11445
芜湖市,6026
蚌埠市,5951
淮南市,5532
马鞍山市,4049
淮北市,2741
铜陵市,2991
安庆市,13538
黄山市,9678
滁州市,13516
阜阳市,10118
宿州市,9939
六安市,15451
亳州市,8521
池州市,8399
宣城市,12313
福州市,12255
厦门市,1701
莆田市,4131
三明市,22965
泉州市,11015
漳州市,12888
南平市,26280
龙岩市,19039
宁德市,13433
南昌市,7402
景德镇市,5262
萍乡市,3831
九江市,19853
新余市,3178
赣州市,39363
吉安市,25372
宜春市,18669
抚州市,18799
上饶市,22757
济南市,7998
青岛市,11282
淄博市,5965
麥庄市,4564
东营市,8243
烟台市,13865
潍坊市,16143
济宁市,11187
泰安市,7762
威海市,5800
日照市,5359
莱芜市,2246
临沂市,17191
德州市,10358
聊城市,8628
滨州市,9660
荷泽市,12155
郑州市,7446
开封市,6240
洛阳市,15236
平顶山市,7882
安阳市,7385
鹤壁市,2182
新乡市,8291
焦作市,4071
濮阳市,4188
许昌市,4997
深河市,2692
三门峡市,10496
南阳市,26509
商丘市,10704
信阳市,18787
周口市,11961
驻马店市,15065
武汉市,8569
黄石市,4583
十堰市,23666
宜昌市,21230
襄阳市,19728
鄂州市,1596
荆门市,12404
孝感市,8904
荆州市,14242
黄冈市,17457
咸宁市,9752
随州市,9636
长沙市,11816
株洲市,11248
湘潭市,5006
衡阳市,15299
邵阳市,20830
岳阳市,14858
常徳市,18177
张家界市,9534
益阳市,12320
郴州市,19342
永州市,22260
怀化市,27572
娄底市,8109
广州市,7434
韶关市,18413
深圳市,1997
珠海市,1736
汕头市,2199
佛山市,3798
江门市,9507
湛江市,13263
茂名市,11427
肇庆市,14900
惠州市,11347
梅州市,15865
汕尾市,4865
河源市,15654
阳江市,7956
清远市,19036
东莞市,2460
中山市,1784
潮州市,3146
揭阳市,5265
云浮市,7787
南宁市,22244
柳州市,18597
桂林市,27670
梧州市,12571
北海市,3989
防城港市,6238
钦州市,12187
贵港市,10602
玉林市,12824
百色市,36202
贺州市,11753
河池市,33476
来宾市,13411
崇左市,17332
海口市,2289
三亚市,1922
脩州市,3400
重庆市,82402
成都市,14335
自贡市,4381
攀枝花市,7401
泸州市,12232
德阳市,5911
绵阳市,20248
广元市,16319
遂宁市,5322
内江市,5385
乐山市,12723
南充市,12477
眉山市,7140
宜宾市,13271
广安市,6339
达州市,16588
雅安市,15046
巴中市,12293
资阳市,5748
贵阳市,8043
六盘水市,9914
安顺市,9267
毕节市,26849
铜仁市,18014
昆明市,21013
曲靖市,28935
玉溪市,14942
保山市,19637
昭通市,22140
丽江市,20554
普洱市,44266
临沧市,23620
拉萨市,29654
日喀则市,182000
昌都市,109817
林芝市,117175
山南市,79699
那曲冇,352192
西安市,10958
铜川市,3882
宝鸡市,18117
咸阳市,9544
渭南市,13134
延安市,37037
汉中市,27096
榆林市,42921
安康市,23536
商洛市,19292
兰州市,13192
嘉峪关市,2935
金昌市,8896
白银市,20099
天水市,14277
武威市,32347
张掖市,38592
平凉市,11170
酒泉市,168000
庆阳市,27117
定西市,19609
陇南市,27839
西宁市,7607
海东市,10340
银川市,9025
石嘴山市,5310
吴忠市,16758
固原市,13047
中卫市,17448
乌鲁木齐市,13788
克拉玛依市,7735
吐鲁番市,69759
哈密市,137222
辛集市,951
晋州市,619
新乐市,525
遵化市,1514
迁安市,1227
滦州市,1027
武安市,1806
南宫市,861
沙河市,859
涿州市,751
定州市,1284
安国市,486
高碑店市,620
平泉市,3294
泊头市,1009
任丘市,872
黄骅市,1545
河间市,1322
霸州市,802
三河市,643
深州市,1245
古交市,1584
高平市,980
怀仁冇,1234
介休市,741
永济市,1208
河津而,593
原平市,2571
侯马市,220
霍州市,765
孝义市,938
汾阳市,1179
霍林郭勒市,585
满洲里市,465
牙克石市,27803
扎兰屯市,16785
额尔古纳市,28958
根河市,20010
丰镇市,2722
乌兰浩特市,2728
阿尔山市,7409
二连浩特市,4015
锡林浩特市,14780
新民市,3318
瓦房店市,3643
庄河市,4114
海城市,2566
东港市,2399
凤城市,5515
凌海市,2586
北镇市,1694
盖州市,2946
大石桥市,1610
灯塔市,1170
调兵山市,262
开原市,2838
北票市,4419
凌源市,3282
兴城市,2102
榆树市,4712
德惠市,3461
蛟河市,6370
桦甸市,6625
舒兰市,4559
磐石市,3861
公主岭市,4111
