城市,值
北京市,1469
天津市,1078
石家庄市,309
唐山市,249
秦皇岛市,138
邯郸市,189
邢台市,106
保定市,215
张家口市,101
承德市,78
沧州市,84
廊坊市,69
衡水市,76
太原市,340
大同市,125
阳泉市,62
长治市,59
晋城市,48
朔州市,36
晋中市,84
运城市,66
忻州市,37
临汾市,61
吕梁市,33
呼和浩特市,260
包头市,211
乌海市,62
赤峰市,106
通辽市,63
鄂尔多斯市,118
呼伦贝尔市,93
巴彦淖尔市,51
乌兰察布市,70
沈阳市,560
大连市,404
鞍山市,174
抚顺市,141
本溪市,109
丹东市,85
锦州市,77
营口市,180
阜新市,77
辽阳市,107
盘锦市,107
铁岭市,66
朝阳市,59
葫芦岛市,90
长春市,542
吉林市,192
四平市,62
辽源市,46
通化市,58
白山市,48
松原市,52
白城市,45
哈尔滨市,442
齐齐哈尔市,140
双鸭山市,58
大庆市,248
伊春市,152
佳木斯市,97
七台河市,68
牡丹江市,82
黑河市,20
绥化市,45
南京市,817
无锡市,343
徐州市,271
常州市,268
苏州市,476
南通市,233
连云港市,223
淮安市,190
盐城市,164
扬州市,172
镇江市,143
泰州市,129
宿迁市,94
杭州市,615
宁波市,344
温州市,261
嘉兴市,129
湖州市,124
绍兴市,233
金华市,106
衢州市,74
舟山市,65
台州市,142
丽水市,39
合肥市,466
芜湖市,179
蚌埠市,149
淮南市,104
马鞍山市,100
淮北市,89
铜陵市,81
安庆市,102
黄山市,70
滁州市,90
阜阳市,140
宿州市,87
六安市,79
亳州市,71
池州市,39
宣城市,61
福州市,293
厦门市,389
莆田市,98
三明市,40
泉州市,244
漳州市,67
南平市,49
龙岩市,71
宁德市,39
南昌市,339
景德镇市,61
萍乡市,51
九江市,151
新余市,80
赣州市,180
吉安市,59
宜春市,88
抚州市,97
上饶市,81
济南市,524
青岛市,715
淄博市,284
麥庄市,155
东营市,153
烟台市,586
潍坊市,180
济宁市,240
泰安市,158
威海市,198
日照市,111
莱芜市,120
临沂市,227
德州市,160
聊城市,111
滨州市,142
荷泽市,164
郑州市,544
开封市,164
洛阳市,218
平顶山市,74
安阳市,87
鹤壁市,64
新乡市,125
焦作市,116
濮阳市,63
许昌市,118
深河市,0.7
三门峡市,61
南阳市,160
商丘市,137
信阳市,100
周口市,75
驻马店市,90
武汉市,724
黄石市,82
十堰市,113
宜昌市,176
襄阳市,199
鄂州市,64
荆门市,64
孝感市,90
荆州市,89
黄冈市,55
咸宁市,73
随州市,77
长沙市,427
株洲市,146
湘潭市,80
衡阳市,137
邵阳市,78
岳阳市,110
常徳市,105
张家界市,33
益阳市,82
郴州市,79
永州市,67
怀化市,64
娄底市,51
广州市,1300
韶关市,113
深圳市,928
珠海市,141
汕头市,282
佛山市,161
江门市,158
湛江市,111
茂名市,119
肇庆市,124
惠州市,278
梅州市,64
汕尾市,33
河源市,40
阳江市,72
清远市,80
揭阳市,139
云浮市,30
南宁市,317
柳州市,232
桂林市,109
梧州市,61
北海市,82
防城港市,49
钦州市,91
贵港市,83
玉林市,75
百色市,53
贺州市,47
河池市,43
来宾市,51
崇左市,35
海口市,183
三亚市,52
重庆市,1497
成都市,932
自贡市,124
攀枝花市,81
泸州市,169
德阳市,89
绵阳市,159
广元市,64
遂宁市,99
内江市,85
乐山市,77
南充市,145
眉山市,66
宜宾市,134
广安市,52
达州市,115
雅安市,38
巴中市,60
资阳市,50
贵阳市,369
六盘水市,54
安顺市,69
铜仁市,52
昆明市,441
曲靖市,103
玉溪市,38
保山市,37
昭通市,45
丽江市,24
普洱市,27
临沧市,23
拉萨市,76
日喀则市,31
昌都市,9
山南市,26
那曲冇,16
西安市,702
宝鸡市,95
咸阳市,73
渭南市,78
延安市,41
汉中市,56
榆林市,69
安康市,45
商洛市,26
兰州市,253
金昌市,44
白银市,67
天水市,56
武威市,34
张掖市,45
平凉市,42
酒泉市,54
庆阳市,30
定西市,25
陇南市,14
西宁市,95
海东市,28
银川市,203
石嘴山市,103
吴忠市,55
固原市,44
中卫市,32
乌鲁木齐市,458
克拉玛依市,76
吐鲁番市,22
哈密市,52
